pt,p_throws,delta_3b_in,d_stuff,n
CU,L,-3,0.161036514172315,4418
SI,L,-3,-0.0330281912371407,11579
ST,L,-3,-0.113888399828934,4904
FF,L,-3,0.00916936174470827,21223
CH,L,-3,-0.399995573258582,9928
SL,L,-3,0.294102843476073,8724
FC,L,-3,0.262599547805821,4405
FS,L,-3,-0.084396850109781,781
SI,R,-4,0.057100985242003,25818
FC,R,-4,-0.162927330776964,13054
SL,R,-4,-0.496451690067216,20362
CU,R,-4,-0.337279612309232,11619
FF,R,-4,-0.0141952077036161,52611
CH,R,-4,0.084304052445417,16724
FS,R,-4,-0.0489648387676142,6921
ST,R,-4,-0.718240556724113,12577
CU,L,-4,0.240230044154037,4418
SI,L,-4,-0.0411775998110578,11579
ST,L,-4,-0.0817948365280653,4904
FF,L,-4,0.0179914598025384,21223
CH,L,-4,-0.397115509727822,9928
SL,L,-4,0.470856713031589,8724
FC,L,-4,0.380364889966911,4405
FS,L,-4,-0.0774890386585925,781
SI,R,-5,0.0683475205298737,25818
FC,R,-5,-0.20617264038845,13054
SL,R,-5,-0.616241839996547,20362
CU,R,-5,-0.485968723296914,11619
FF,R,-5,-0.024335420412857,52611
CH,R,-5,0.0817603231215112,16724
FS,R,-5,-0.100982164809463,6921
ST,R,-5,-0.822992378242051,12577
CU,L,-5,0.297302537772374,4418
SI,L,-5,-0.0376923707022168,11579
ST,L,-5,-0.0796321863897971,4904
FF,L,-5,0.0340602773025917,21223
CH,L,-5,-0.341431511076331,9928
SL,L,-5,0.636047002783536,8724
FC,L,-5,0.459483165197517,4405
FS,L,-5,-0.0350708760485491,781
SI,R,-6,0.0874290877467094,25818
FC,R,-6,-0.249252760154353,13054
SL,R,-6,-0.742127848920076,20362
CU,R,-6,-0.613698442417696,11619
FF,R,-6,-0.0296722026704803,52611
CH,R,-6,0.113013192963343,16724
FS,R,-6,-0.096679944308659,6921
ST,R,-6,-0.929667046809767,12577
CU,L,-6,0.408991705236741,4418
SI,L,-6,-0.0285811419105245,11579
ST,L,-6,0.133328197288851,4904
FF,L,-6,0.0585703570372563,21223
CH,L,-6,-0.265019915916816,9928
SL,L,-6,0.854520257007533,8724
FC,L,-6,0.586001952341839,4405
FS,L,-6,0.0980808714895767,781
SI,R,-7,0.113068699665185,25818
FC,R,-7,-0.283111985279925,13054
SL,R,-7,-0.845673365613953,20362
CU,R,-7,-0.629468096159129,11619
FF,R,-7,-0.0278055227024838,52611
CH,R,-7,0.198464394840632,16724
FS,R,-7,-0.0257680572834801,6921
ST,R,-7,-1.02462275537508,12577
CU,L,-7,0.65221448888766,4418
SI,L,-7,-0.0131419592750786,11579
ST,L,-7,0.345205456796645,4904
FF,L,-7,0.0890043095980614,21223
CH,L,-7,-0.201607463131275,9928
SL,L,-7,1.07251595143329,8724
FC,L,-7,0.743152802991061,4405
FS,L,-7,0.266062851594329,781
SI,R,-8,0.146208287098418,25818
FC,R,-8,-0.283771723267516,13054
SL,R,-8,-0.847459313803532,20362
CU,R,-8,-0.420785075171591,11619
FF,R,-8,-0.0186923754981159,52611
CH,R,-8,0.325672382263182,16724
FS,R,-8,0.0948910841960222,6921
ST,R,-8,-1.00105342136885,12577
CU,L,-8,0.927032749418529,4418
SI,L,-8,0.00779495690809072,11579
ST,L,-8,0.63072282994383,4904
FF,L,-8,0.125102037892446,21223
CH,L,-8,-0.137931478957392,9928
SL,L,-8,1.34235408370414,8724
FC,L,-8,0.905438216849385,4405
FS,L,-8,0.539202083959995,781
SI,R,-9,0.185895116411711,25818
FC,R,-9,-0.310012553337021,13054
SL,R,-9,-0.898148990641579,20362
CU,R,-9,-0.280599981159665,11619
FF,R,-9,-0.0068383476608143,52611
CH,R,-9,0.461328471103266,16724
